id,A_id,B_id
1431,1353,4515
1432,3920,4627
1433,3002,548
1434,1374,3921
1435,4574,1380
1436,2227,1947
1437,1354,4674
1439,3671,4853
1440,1725,3845
1441,1581,4515
1442,281,2181
1443,1680,3565
1444,1077,1000
1445,1690,786
1446,3661,4515
1447,1898,1007
1448,3349,2456
1449,1476,4031
1451,4719,4515
1452,1421,4515
1453,1653,647
1454,2182,4455
1455,1990,4048
1456,2525,4732
1457,1593,130
1458,766,2428
1459,263,4515
1460,1170,2546
1461,2643,4515
1462,309,4515
1463,4028,269
1464,2260,4031
1465,241,1738
1466,2420,4896
1467,282,4515
1468,2120,129
1469,1277,4035
1470,1573,4031
1471,1816,1823
1473,1249,5072
1474,1254,4712
1475,847,4515
1476,3400,4515
1477,4071,4515
1478,404,2264
1479,2494,2321
1480,1699,4423
1481,2700,4515
1482,1859,4515
1483,3924,3026
1484,241,4515
1486,2,3266
1487,1400,4674
1488,758,1235
1489,239,2951
1490,1971,4128
1491,1902,2610
1492,2163,515
1493,1354,3820
1494,2572,4515
1495,148,4515
1496,1725,4111
1498,3509,1134
1499,2107,711
1500,1195,2338
1502,1971,4644
1503,2425,1049
1505,313,4515
1506,1468,3914
1507,2874,2528
1508,1606,4515
1509,1028,4515
1510,2365,4164
1511,1226,3541
1512,1421,4711
1513,2337,1016
1514,1888,1606
1515,1886,4515
1516,1618,4122
1517,1099,3622
1518,1886,4010
1519,1883,3147
