A_id,B_id
3032,4515
2447,4936
1832,2474
3163,4515
1375,4047
2304,3312
3015,4515
1794,4515
2746,4515
1999,4515
1481,3977
1519,4600
3903,1779
3920,4628
2521,4515
1214,4362
4396,4515
1820,4563
2007,4515
189,4515
254,4515
2564,4515
2127,4515
2210,4515
2287,4515
4689,4515
1422,4515
1045,4515
2237,5394
1375,2840
1647,4515
1609,647
3542,4515
3446,4515
2990,4515
3944,4515
3793,4515
4404,4515
4477,4515
2571,4515
2717,4515
488,4515
2452,4515
2814,4515
1573,4383
2023,3612
3871,4515
3938,3875
3566,1702
213,4515
2550,4515
1082,3597
3578,4515
700,4515
172,2123
332,4515
854,4515
3779,2407
2275,4515
2874,2528
259,4515
592,4101
3926,2174
3184,5186
2922,4515
2778,4515
2112,5419
1014,1805
31,858
2938,4515
472,4515
2051,4515
1688,1366
1190,4515
1765,4515
32,4515
713,4515
1592,4515
4614,4515
3847,4515
1672,4959
723,3506
2274,4515
1769,3580
1099,3622
3252,4515
4649,4515
1344,4515
1829,4515
2639,4515
2329,4515
999,4515
478,3851
1838,4515
429,4515
1374,3921
1457,586
908,4515
3329,4515
3992,3975
4716,4515
3562,3634
227,4515
935,4035
1508,4515
523,4515
857,4515
1436,4515
2987,4515
2365,4164
538,4515
716,4515
1883,4515
367,4515
4440,4515
1511,4515
3007,4515
2026,4515
4189,4515
2625,4515
30,3704
2346,4515
1433,4092
2175,4515
1425,4515
829,4515
4068,5296
1929,860
1837,4587
2500,1359
4328,4515
3256,4515
838,4515
3116,4515
185,4515
1801,2820
791,4515
1394,647
306,4515
1529,4092
2324,4515
3386,4515
1573,3516
1148,4383
119,4515
1638,4830
4490,4515
1484,4515
1338,4515
164,4515
3827,4515
2314,2425
1353,4515
3307,2216
2281,5081
448,2417
2261,4515
385,2518
2632,4515
1065,4515
1600,3883
2995,4515
2706,4515
3920,4628
1898,1027
2036,4515
1082,4490
1178,4515
1345,1004
2470,4515
1653,2338
1254,4712
1669,4515
3177,4515
1989,4224
3518,3522
1586,4515
1170,2552
768,3660
1529,1295
3055,4515
1792,4515
235,4515
517,4515
3167,4515
1522,63
1837,3516
622,4515
2051,4643
1899,4515
3609,4515
4748,4515
3779,5116
1985,2501
3956,1307
1191,4515
3814,4515
1803,4515
3878,2911
1187,4515
2893,4515
1672,41
2120,129
4455,4515
2323,4714
3123,4515
452,4515
100,2140
2772,2990
4095,4515
1181,4515
729,4515
1529,4035
2227,1947
3485,4515
3033,4515
3685,4515
1249,4515
1023,4515
3887,4515
1027,658
1621,3656
2562,4515
824,4515
1262,4515
2580,4515
3238,4515
2005,3720
4083,4515
896,3057
3891,4515
2630,2523
2171,4515
1593,2012
1875,4515
464,4515
4175,4515
1241,4535
2177,4206
4431,4515
4669,4515
263,4515
2029,4515
1230,3129
4439,4515
786,1423
1433,4515
1709,4801
2251,4515
2736,4515
1430,4515
2260,3541
1898,229
1170,2547
3416,4515
1309,4515
3108,3260
3696,4515
4073,4515
341,4515
2237,4515
1163,4515
1673,4515
3921,1286
2288,5247
813,4515
2341,2540
1101,4515
4537,4515
1557,4515
1593,3685
1084,4303
1813,3343
3355,4515
3354,4515
1354,4383
1769,4515
448,4515
1211,1085
967,4515
1759,4433
530,4515
1608,4515
1033,4515
2244,3430
2525,4515
291,3425
1002,4515
1354,3820
582,4515
448,2416
1170,4515
3457,4515
4739,4515
1394,1200
2304,1359
2738,4515
1082,4714
4618,4515
1573,3656
3296,4515
1686,4515
2333,4515
1519,4515
3931,4515
2284,5437
2015,4515
2866,4294
1476,4406
3432,4515
321,4515
1616,4515
1672,4228
3145,4515
3844,1673
1433,4111
239,4750
4497,4515
1327,4515
2292,4515
756,4515
491,4515
2043,2255
2242,4515
3228,4515
