,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
2251,Donna Partow ,Paperback,$11.59,9780800728359,$15.99,352.0,6.2 x 0.8 x 8.5 inches,05/16/17,Revell; Reprint edition,Becoming the Woman God Wants Me to Be: A 90-Day Guide to Living the Proverbs 31 Life
2252,Richard Bach and Russell Munson ,Paperback,$11.90,9781476793313,$15.00,127.0,6.5 x 0.5 x 8.5 inches,10/21/14,Scribner; 1st edition,Jonathan Livingston Seagull: The Complete Edition
2253,Lucinda Riley ,Hardcover,$17.70,9781982110611,$28.00,544.0,6 x 1.9 x 9 inches,02/19/19,Atria Books,The Moon Sister: A Novel (The Seven Sisters)
2254,"Tene Edwards , Mr Mitch Green, et al. ",Paperback,$11.69,9781999588908,$12.99,166.0,5 x 0.4 x 8 inches,07/01/18,The Good Quote Publishing; 2 edition,Walk With Wings
2255,Amy-Jill Levine ,Paperback,$10.98,9780061561030,$16.99,352.0,5.3 x 0.8 x 8 inches,09/15/15,HarperOne; Reprint edition,Short Stories by Jesus: The Enigmatic Parables of a Controversial Rabbi
2256,Aldous Huxley and Christopher Hitchens ,Paperback,$11.55,9780060776091,$16.99,378.0,5.3 x 0.9 x 8 inches,07/05/05,Harper Perennial Modern Classics; Reprint edition,Brave New World and Brave New World Revisited
2257,Jamie Ford ,Paperback,$12.00,9780345505347,$17.00,301.0,5.2 x 0.7 x 8 inches,10/06/09,Ballantine Books; 1st edition,Hotel on the Corner of Bitter and Sweet
2258,Andrzej Sapkowski and David A French ,Paperback,$11.59,9780316441629,$16.99,464.0,5.5 x 1.2 x 8.2 inches,11/06/18,Orbit; Reprint edition,Season of Storms (The Witcher)
2259,Bret Easton Ellis ,Hardcover,$17.07,9780525656302,$25.95,272.0,6 x 1.1 x 8.5 inches,04/16/19,Knopf,White
2260,Meg Wolitzer ,Paperback,$13.19,9780743456661,$16.00,219.0,5.2 x 0.5 x 8 inches,04/13/04,Scribner; Reprint edition,The Wife: A Novel
2261,Shane Dawson ,Paperback,$12.49,9781476791548,$16.00,240.0,5.5 x 0.7 x 8.4 inches,03/10/15,Atria/Keywords Press,I Hate Myselfie: A Collection of Essays by Shane Dawson
2262,"Ingri d'Aulaire, Edgar Parin d'Aulaire, et al. ",Hardcover,$17.46,9781590171257,$29.95,160.0,8.9 x 0.8 x 12 inches,07/10/05,NYR Children's Collection; Main edition,D'Aulaires' Book of Norse Myths
2263,Karl Ove Knausgaard ,Paperback,$11.59,9780143133131,$17.00,256.0,5 x 0.6 x 8 inches,03/26/19,Penguin Books,So Much Longing in So Little Space: The Art of Edvard Munch
2264,Tracey Garvis Graves ,Hardcover,$17.70,9781250200358,$26.99,304.0,6.4 x 1.1 x 9.6 inches,04/02/19,St. Martin's Press,The Girl He Used to Know: A Novel
2265,Chimamanda Ngozi Adichie ,Paperback,$15.24,9781400095209,$16.95,543.0,5.2 x 0.9 x 8 inches,09/04/07,Anchor,Half of a Yellow Sun
2266,ell hooks ,Paperback,$9.25,9780743456081,$15.95,208.0,5.3 x 0.5 x 8.2 inches,12/21/04,Washington Square Press; 1 edition,"The Will to Change: Men, Masculinity, and Love"
2267,Parragon Books ,Hardcover,$9.96,9781680524154,$12.99,96.0,8.2 x 0.5 x 10.1 inches,10/09/18,Parragon Books,A Collection of Stories for 2 Year Olds
2268,Emmet Fox ,Paperback,$13.59,9780060628628,$15.99,182.0,5.3 x 0.4 x 8 inches,07/28/09,HarperOne; Reissue edition,The Sermon on the Mount: The Key to Success in Life
2269,Zadie Smith ,Paperback,$12.65,9780375703867,$16.95,464.0,5.2 x 1 x 7.9 inches,06/12/01,Vintage,White Teeth: A Novel
2270,Brent Weeks ,Hardcover,$27.00,9780316251303,$30.00,650.0,,10/22/19,Orbit,The Burning White (Lightbringer)
2271,Therese de Lisieux and John Clarke ,Paperback,$11.95,9782950883711,$13.95,306.0,5.4 x 1 x 8.4 inches,01/19/96,I C S Publications; 3rd edition,Story of a Soul: The Autobiography of St. Therese of Lisieux (the Little Flower) [The Authorized English Translation of Therese's Original Unaltered Manuscripts]
2272,Shirley P. Glass and Jean Coppock Staeheli ,Paperback,$9.88,9780743225502,$18.00,448.0,5.5 x 1 x 8.4 inches,02/03/04,Atria Books; 31992nd edition,"Not ""Just Friends"": Rebuilding Trust and Recovering Your Sanity After Infidelity"
2273,Frances Hodgson Burnett and Tasha Tudor ,Paperback,$6.99,9780064401883,$7.99,384.0,5.1 x 0.8 x 7.6 inches,12/21/10,HarperCollins; Reprint edition,The Secret Garden (HarperClassics)
2274,"Robert Kirkman , Charlie Adlard, et al. ",Paperback,$7.63,9781534304970,$16.99,136.0,6.4 x 0.5 x 10.1 inches,03/13/18,Image Comics,The Walking Dead Volume 29: Lines We Cross
2275,Katherine Arden ,Paperback,$10.87,9781101885956,$16.00,368.0,5.4 x 0.8 x 8.2 inches,06/27/17,Del Rey; Reprint edition,The Bear and the Nightingale: A Novel (Winternight Trilogy)
2276,Sandra Newman ,Hardcover,$17.10,9780802129024,$26.00,272.0,6.5 x 1 x 9.2 inches,02/12/19,Grove Press,The Heavens
2277,Albert Camus ,Paperback,$9.80,9780525564454,$14.00,160.0,5.2 x 0.5 x 8 inches,11/06/18,Vintage; Translation edition,The Myth of Sisyphus (Vintage International)
2278,Christopher Paolini ,Paperback,$10.25,9780375826696,$11.99,528.0,5.5 x 1.1 x 8.2 inches,04/26/05,Knopf Books for Young Readers,"Eragon (Inheritance, Book 1)"
2279,Mary Oliver ,Paperback,$11.55,9780143124054,$17.00,96.0,5.1 x 0.3 x 7.7 inches,09/24/13,Penguin Books; Reprint edition,A Thousand Mornings: Poems
2280,Dave Itzkoff ,Hardcover,$16.49,9781627794244,$30.00,544.0,6.4 x 1.9 x 9.5 inches,05/15/18,Henry Holt and Co.; 1st Edition edition,Robin
2281,Virginia Woolf and Eudora Welty ,Paperback,$8.94,9780156907392,$14.99,209.0,5.1 x 0.6 x 7.8 inches,12/27/89,Harcourt Brace Jovanovich; First edition,To the Lighthouse
2282,Alice Sebold ,Paperback,$8.69,9780316168816,$15.99,368.0,5.5 x 1 x 8.2 inches,04/20/04,Back Bay Books; Reprint edition,The Lovely Bones
2283,Curtis Sittenfeld ,Paperback,$11.59,9780525508700,$17.00,256.0,5.2 x 0.6 x 8 inches,03/05/19,Random House Trade Paperbacks; Reprint edition,"You Think It, I'll Say It: Stories"
2284,"Emily Brontë , Pauline Nestor, et al. ",Paperback,$4.98,9780141439556,$8.00,416.0,5.1 x 0.9 x 7.7 inches,12/31/02,Penguin Classics; Revised edition,Wuthering Heights (Penguin Classics)
2285,John Irving ,Paperback,$14.54,9780062204097,$17.99,627.0,5.3 x 1 x 8 inches,04/03/12,William Morrow Paperbacks; Reprint edition,A Prayer for Owen Meany: A Novel
2286,Alain de Botton ,Paperback,$8.78,9781501134517,$16.00,240.0,5.5 x 0.7 x 8.4 inches,06/20/17,Simon & Schuster; Reprint edition,The Course of Love: A Novel
2287,Nana Kwame Adjei-Brenyah ,Paperback,$10.39,9781328911247,$14.99,208.0,5.3 x 0.6 x 8 inches,10/23/18,Mariner Books; First Edition edition,Friday Black
2288,"Leo Tolstoy , Richard Pevear, et al. ",Paperback,$13.59,9781400079988,$20.00,1296.0,6.1 x 1.8 x 9.2 inches,12/02/08,Vintage; Reprint edition,War and Peace (Vintage Classics)
2289,Christine Feehan ,Mass Market Paperback,$6.71,9781984803528,$7.99,,4.2 x 1.1 x 6.8 inches,06/04/19,Berkley,Shadow Warrior (A Shadow Riders Novel)
2290,George Orwell and Christopher Hitchens ,Hardcover,$13.49,9780151010264,$24.00,400.0,5.5 x 1.2 x 8.2 inches,06/01/03,Houghton Mifflin Harcourt; 1 edition,Animal Farm: 1984
2291,Aneko Yusagi ,Paperback,$11.66,9781935548782,$12.95,300.0,5 x 1 x 7 inches,10/20/15,One Peace Books,The Rising of the Shield Hero Volume 02
2292,Arthur Miller ,Paperback,$10.20,9780143129479,$15.00,160.0,5.1 x 0.6 x 7.7 inches,10/18/16,Penguin Classics; Reprint edition,The Crucible: (Penguin Orange Collection)
2293,Makenzie Campbell ,Paperback,$11.94,9781771681643,$14.99,160.0,5.2 x 0.4 x 8 inches,01/02/19,Central Avenue Publishing; None edition,2am Thoughts
2294,David Benioff ,Paperback,$12.48,9780452295292,$16.00,258.0,5.3 x 0.6 x 7.9 inches,03/31/09,Penguin Books,City of Thieves: A Novel
2295,Alice Hoffman ,Paperback,$9.89,9781501137488,$16.00,400.0,5.2 x 1 x 8 inches,06/26/18,Simon & Schuster; Reprint edition,The Rules of Magic: A Novel (The Practical Magic Series)
2296,Hanif Abdurraqib and Dr. Eve L. Ewing ,Paperback,$13.80,9781937512651,$16.99,236.0,5.8 x 1 x 7.5 inches,11/07/17,Two Dollar Radio,They Can't Kill Us Until They Kill Us
2297,Jean Rhys and Edwidge Danticat ,Paperback,$13.34,9780393352566,$14.95,176.0,5.5 x 0.5 x 8.3 inches,01/25/16,W. W. Norton & Company; Reissue edition,Wide Sargasso Sea
2298,Ashley & JaQuavis ,Paperback,$12.79,9781250066992,$16.99,320.0,5.6 x 0.8 x 8.2 inches,07/26/16,St. Martin's Griffin,The Cartel 6: The Demise
2299,Bhikkhu Bodhi and His Holiness the Dalai Lama ,Paperback,$17.10,9780861714919,$19.95,512.0,6 x 1.2 x 9 inches,07/28/05,Wisdom Publications; First Edition edition,In the Buddha's Words: An Anthology of Discourses from the Pali Canon (The Teachings of the Buddha)
2300,E L James ,Paperback,$12.19,9780525634669,$18.00,800.0,6.2 x 1.1 x 9.3 inches,12/19/17,Random House Large Print; Large Print edition,Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey Series)
2301,Jean Raspail ,Paperback,$12.15,9781881780380,$13.50,384.0,5.8 x 1 x 9 inches,07/12/18,Social Contract Press; Sixth American Edition edition,The Camp of the Saints
2302,Philip K. Dick ,Paperback,$12.93,9780547572482,$15.99,288.0,5.3 x 0.7 x 8 inches,01/24/12,Mariner Books; Reissue edition,The Man in the High Castle
2303,Moises Naim ,Paperback,$17.56,9788466665513,$22.95,600.0,6 x 9 inches,05/21/19,Ediciones B,Dos espías en Caracas / Two Spies in Caracas (Spanish Edition)
2304,Ian McEwan ,Paperback,$10.87,9780385721790,$16.00,351.0,5.2 x 0.8 x 8 inches,02/25/03,Anchor Books; 1st edition,Atonement: A Novel
2305,Kugane Maruyama and so-bin ,Hardcover,$13.52,9780316398862,$20.00,320.0,6 x 1.1 x 8.6 inches,01/22/19,Yen On,"Overlord, Vol. 9 (light novel): The Caster of Destruction"
2306,Kenkou Cross ,Hardcover,$21.55,9781626923614,$29.99,240.0,6.3 x 1 x 8.5 inches,10/25/16,Seven Seas,Monster Girl Encyclopedia Vol. 1
2307,Roxanna Elden ,Paperback,$13.49,9781732098701,$14.99,318.0,6 x 0.8 x 9 inches,07/17/18,Rivet Street Books,Adequate Yearly Progress: A Novel
2308,Aneko Yusagi ,Paperback,$12.56,9781935548669,$13.95,344.0,5 x 2 x 7 inches,02/16/16,One Peace Books,The Rising of the Shield Hero Volume 03
2309,Jodi Picoult ,Paperback,$15.29,9780743496735,$16.99,455.0,5.3 x 1.2 x 8.2 inches,02/05/08,Washington Square Press; 1ST edition,Nineteen Minutes
2310,E L James ,Paperback,$8.93,9781101946343,$15.95,576.0,5.2 x 1 x 8 inches,06/18/15,Vintage,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)
2311,Chelsea Monroe-Cassel ,Hardcover,$20.79,9781608878048,$35.00,216.0,8 x 1 x 10 inches,10/18/16,Insight Editions,World of Warcraft: The Official Cookbook
2312,Fred Rogers ,Hardcover,$11.58,9781401301064,$17.00,208.0,5.8 x 0.8 x 6.8 inches,10/08/03,Hachette Books,The World According to Mister Rogers: Important Things to Remember
2313,Charles Frazier ,Hardcover,$15.59,9780062405982,$27.99,368.0,6 x 1.2 x 9 inches,04/03/18,Ecco; First Edition edition,Varina: A Novel
2314,Jojo Moyes ,Paperback,$9.53,9780143124542,$16.00,369.0,5.4 x 0.8 x 8.4 inches,07/30/13,Penguin Books; Reprint edition,Me Before You (Me Before You Trilogy)
2315,Vanessa Diffenbaugh ,Paperback,$10.09,9780345525550,$17.00,334.0,5.2 x 0.8 x 8 inches,04/03/12,Ballantine Books; Reprint edition,The Language of Flowers: A Novel
2316,"Ludwig van Beethoven, Napoleon Bonaparte, et al. ",Paperback,$12.56,9781440496028,$13.95,136.0,5.5 x 0.3 x 8.5 inches,01/31/10,CreateSpace Independent Publishing Platform; 1.1.2010 edition,Love Letters Of Great Men - Vol. 1
2317,Kenneth Grahame and Robert Ingpen ,Hardcover,$13.96,9781402782831,$19.95,224.0,8 x 1.2 x 9.8 inches,03/06/12,Sterling Children's Books; Illustrated edition,The Wind in the Willows (Sterling Illustrated Classics)
2318,Richelle Mead ,Paperback,$33.53,9781595147585,$60.94,2784.0,7.6 x 5.6 x 8.4 inches,12/31/13,Razorbill; Box edition,Vampire Academy Box Set 1-6
2319,Robert Brooks and Matt Burns ,Hardcover,$19.49,9781945683206,$29.99,144.0,8 x 0.8 x 10 inches,12/04/18,Blizzard Entertainment,Book of Adria: A Diablo Bestiary
2320,Naomi Novik ,Hardcover,$18.78,9780399180989,$28.00,480.0,5.8 x 1.4 x 8.6 inches,07/10/18,Del Rey; First Edition edition,Spinning Silver: A Novel
2321,"America's Test Kitchen , Eugenia Bone, et al. ",Hardcover,$25.47,9781426219740,$40.00,384.0,9.5 x 1.2 x 11.1 inches,10/23/18,National Geographic,Tasting Italy: A Culinary Journey
2322,Harriet Beecher Stowe ,Paperback,$9.15,,$10.99,,,,,Uncle Tom's Cabin
2323,Jhumpa Lahiri ,Paperback,$8.69,9780618485222,$15.99,291.0,5.5 x 0.7 x 8.2 inches,09/01/04,Mariner Books; Reprint edition,The Namesake: A Novel
2324,Jostein Gaarder and Paulette Moller ,Paperback,$12.12,9780374530716,$15.00,544.0,5.5 x 1 x 8.3 inches,03/20/07,"Farrar, Straus and Giroux; Reprint edition",Sophie's World: A Novel About the History of Philosophy (FSG Classics)
2325,Lawrence Ferlinghetti,Paperback,$9.86,9780811200417,$10.95,93.0,5.2 x 0.3 x 8 inches,01/17/68,New Directions,A Coney Island of the Mind: Poems
2326,Dr. Seuss ,Hardcover,$5.99,9780394806228,$9.99,36.0,6.8 x 0.3 x 9.3 inches,08/12/70,Random House,Mr. Brown Can Moo! Can You?
2327,Kathryn Davis ,Hardcover,$15.91,9781555978297,$24.00,144.0,5.7 x 0.7 x 8.5 inches,03/05/19,Graywolf Press,The Silk Road: A Novel
2328,Ling Ma ,Hardcover,$17.05,9780374261597,$26.00,304.0,5.7 x 1 x 8.4 inches,08/14/18,"Farrar, Straus and Giroux; First Edition, First Printing edition",Severance: A Novel
2329,Ernest Hemingway ,Paperback,$14.95,9780684843322,$22.00,650.0,5.5 x 1.5 x 8.2 inches,08/03/98,Scribner; Finca Vig Ia Ed edition,The Complete Short Stories of Ernest Hemingway: The Finca Vigia Edition
2330,Ashley Antoinette ,Paperback,$15.00,9781724043146,$16.99,262.0,5.5 x 0.7 x 8.5 inches,11/26/18,Independently published,Ethic 3
2331,V. E. Schwab ,Paperback,$31.30,9781250175205,$49.97,,5.7 x 4.3 x 8.6 inches,10/16/18,Tor Books,"Shades of Magic Boxed Set: A Darker Shade of Magic, A Gathering of Shadows, A Conjuring of Light"
2332,"Tony Kushner, Andrew Garfield, et al. ",Audio CD,$26.95,9780593153949,$35.00,,,05/14/19,Random House Audio; Unabridged edition,Angels in America: A Gay Fantasia on National Themes
2333,Carlo Zen and Shinobu Shinotsuki ,Paperback,$9.80,9780316560696,$14.00,336.0,5.5 x 0.9 x 8.2 inches,03/26/19,Yen On,"The Saga of Tanya the Evil, Vol. 5 (light novel): Abyssus Abyssum Invocat"
2334,Ted Chiang ,Paperback,$10.87,9781101972120,$16.00,304.0,5.2 x 0.9 x 8 inches,06/14/16,Vintage; Reissue edition,Stories of Your Life and Others
2335,Eric Flint ,Hardcover,$16.40,9781481483896,$25.00,512.0,6.5 x 1.4 x 9.2 inches,04/02/19,Baen,1637: The Polish Maelstrom (Ring of Fire)
2336,Jeff VanderMeer ,Hardcover,$22.23,9780374261177,$35.00,608.0,6.6 x 1.8 x 8.5 inches,11/18/14,FSG Originals; 1st Edition edition,Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance
2337,Elie Wiesel ,Paperback,$13.05,9780809073641,$17.95,352.0,5.5 x 0.9 x 8.3 inches,04/15/08,"Hill and Wang; First PB Edition, First Printing edition","The Night Trilogy: Night, Dawn, Day"
2338,Kurt Schlichter ,Paperback,$13.49,9781539018957,$14.99,216.0,6 x 0.5 x 9 inches,09/16/16,CreateSpace Independent Publishing Platform,People's Republic
2339,Neil Gaiman and Sam Kieth ,Paperback,$12.93,9781401284770,$19.99,240.0,6.6 x 0.3 x 10.1 inches,10/30/18,Vertigo; Anniversary edition,The Sandman Vol. 1: Preludes & Nocturnes 30th Anniversary Edition
2340,Christina Baker Kline ,Paperback,$9.34,9780062356277,$16.99,352.0,5.3 x 0.8 x 8 inches,01/30/18,William Morrow Paperbacks; Reprint edition,A Piece of the World: A Novel
2341,Virginia Woolf ,Paperback,$8.73,9780156628709,$14.99,214.0,5.3 x 0.5 x 7.9 inches,01/011990,Mariner Books; First edition,Mrs. Dalloway
2342,Anita Diamant ,Paperback,$16.00,9780312427290,$18.00,352.0,5.5 x 0.9 x 8.3 inches,08/21/07,Picador; 10th Anniversary edition,The Red Tent - 20th Anniversary Edition: A Novel
2343,William R. Forstchen ,Paperback,$9.98,9780765327253,$16.99,352.0,6.2 x 0.9 x 9.2 inches,11/24/09,Forge Books; First edition,One Second After (A John Matherson Novel)
2344,Andrew Klavan ,Hardcover,$19.49,9781684422630,$29.99,352.0,6.2 x 1.2 x 9.1 inches,03/19/19,Turner,Another Kingdom
2345,Helen L. Taylor ,Paperback,$8.33,9780802447999,$10.99,336.0,5.5 x 0.8 x 8.5 inches,01/01/13,Moody Publishers; New edition,Little Pilgrim's Progress: From John Bunyan's Classic
2346,Paula McLain ,Paperback,$11.05,9781101967393,$17.00,432.0,5.2 x 1.1 x 7.9 inches,01/15/19,Ballantine Books; Reprint edition,Love and Ruin: A Novel
2347,Christine Feehan ,Hardcover,$24.30,9781984803467,$27.00,432.0,6 x 1.1 x 9 inches,09/03/19,Berkley,"Dark Illusion (Carpathian Novel, A)"
2348,Katherine Arden ,Paperback,$12.20,9781101885987,$16.00,400.0,5.5 x 0.8 x 8.2 inches,06/26/18,Del Rey; Reprint edition,The Girl in the Tower: A Novel (Winternight Trilogy)
2349,"Rick Remender , Jerome Opena, et al. ",Paperback,$11.59,9781534306981,$16.99,128.0,6.5 x 0.6 x 10 inches,03/26/19,Image Comics,Seven to Eternity Volume 3: Rise to Fall
2350,Emil Ferris ,Paperback,$26.99,9781606999592,$39.99,416.0,8.1 x 1.3 x 10.5 inches,02/28/17,Fantagraphics Books; 1 edition,My Favorite Thing Is Monsters
2351,Lisa Genova ,Paperback,$9.47,9781501106422,$16.00,352.0,5.3 x 0.9 x 8.2 inches,12/02/14,Gallery Books; Media Tie-In edition,Still Alice
2352,N. K. Jemisin ,Hardcover,$17.10,9780316491341,$26.00,416.0,5.9 x 1.5 x 8.6 inches,11/27/18,Orbit; 1st Edition edition,How Long 'til Black Future Month?: Stories
2353,"Deborah Harkness , Colleen Madden, et al. ",Hardcover,$22.81,9780735220744,$40.00,496.0,7.5 x 1.5 x 9.4 inches,05/08/18,Viking,"The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow of Night, and The Book of Life (All Souls Trilogy)"
2354,Yara Zgheib ,Hardcover,$18.29,9781250202444,$27.99,384.0,6.2 x 1.3 x 9.6 inches,02/05/19,St. Martin's Press,The Girls at 17 Swann Street: A Novel
2355,James Clavell ,Paperback,$15.78,9780385343244,$20.00,1008.0,6 x 1.4 x 8.9 inches,05/19/09,Delta; First American Trade Paperback Edition edition,Shogun (Asian Saga)
2356,Kelly Williams Brown ,Paperback,$9.48,9781538729137,$15.99,352.0,5.5 x 1 x 8.2 inches,03/06/18,Grand Central Life & Style; Updated edition,Adulting: How to Become a Grown-up in 535 Easy(ish) Steps
2357,Kugane Maruyama and so-bin ,Hardcover,$13.59,9780316363914,$20.00,256.0,5.7 x 1 x 8.3 inches,10/04/16,Yen Press,"Overlord, Vol. 2 - light novel"
2358,Tony Hoagland ,Hardcover,$15.28,9781324002680,$22.95,176.0,5.8 x 0.8 x 8.6 inches,03/05/19,W. W. Norton & Company; 1 edition,The Art of Voice: Poetic Principles and Practice
2359,Mark Millar and Steve McNiven ,Paperback,$14.98,9780785121794,$24.99,208.0,6.6 x 0.4 x 10.2 inches,04/11/07,Marvel Comics; 1st Printing edition,Civil War
2360,Rachel Hollis ,Paperback,$10.99,9781503953260,$14.95,264.0,5.5 x 1 x 8.2 inches,01/26/16,Lake Union Publishing,Smart Girl (The Girls)
2361,Heather Havrilesky ,Hardcover,$17.07,9780385542883,$25.95,240.0,5.8 x 1 x 8.5 inches,10/02/18,Doubleday; 1st Edition edition,What If This Were Enough?: Essays
2362,James Baldwin ,Paperback,$6.60,9780345806567,$14.00,176.0,5.2 x 0.5 x 7.9 inches,01/012013,Vintage Books; 1 edition,Giovanni's Room
2363,Leslie Knope ,Paperback,$15.59,9781401310646,$20.00,256.0,7.2 x 0.8 x 9.1 inches,10/04/11,Hyperion; Original edition,Pawnee: The Greatest Town in America
2364,Alex Ortner and Erin Mariano ,Hardcover,$11.55,9781401952877,$16.99,32.0,9.3 x 0.4 x 9.3 inches,12/06/16,Hay House Inc.,Gorilla Thumps and Bear Hugs: A Tapping Solution Children's Story
2365,Kathleen Grissom ,Paperback,$12.11,9781439153666,$16.99,368.0,5.2 x 0.7 x 8 inches,02/02/10,Atria Books; 1st edition,The Kitchen House: A Novel
2366,Mason Currey ,Hardcover,$16.83,9780307273604,$24.95,304.0,5.3 x 1 x 7.5 inches,04/23/13,Knopf,Daily Rituals: How Artists Work
2367,Cherríe Moraga and Gloria Anzaldúa ,Paperback,$28.45,9781438454382,$32.95,336.0,6 x 0.8 x 9 inches,03/01/15,SUNY Press; 4 edition,"This Bridge Called My Back, Fourth Edition: Writings by Radical Women of Color"
2368,Liane Moriarty ,Paperback,$8.89,9780451492340,$9.99,560.0,4.3 x 1.2 x 7.6 inches,03/27/18,Berkley; Reprint edition,The Hypnotist's Love Story
2369,Timothy Freke and Peter Gandy ,Paperback,$10.00,9781585426928,$12.00,145.0,5 x 0.5 x 7.1 inches,12/26/08,TarcherPerigee; Original edition,The Hermetica: The Lost Wisdom of the Pharaohs
2370,V. E. Schwab ,Paperback,$8.78,9780765376466,$15.99,416.0,5.5 x 1.1 x 8.2 inches,01/19/16,Tor Books; Reprint edition,A Darker Shade of Magic: A Novel (Shades of Magic)
2371,Kelly Rimmer ,Paperback,$12.48,9781525823565,$16.99,432.0,6 x 1.2 x 8.9 inches,03/19/19,Graydon House; Original edition,The Things We Cannot Say
2372,Bethesda Softworks ,Hardcover,$67.39,9781783293230,$105.00,232.0,8.5 x 3.4 x 10.9 inches,09/12/17,Titan Books; Box edition,"The Skyrim Library - Volumes I, II & III (Box Set)"
2373,Alan Lightman ,Paperback,$12.70,9781400077809,$14.95,144.0,5.2 x 0.4 x 8 inches,11/09/04,Vintage; 1 edition,Einstein's Dreams
2374,Wizards RPG Team,Hardcover,$29.97,9780786965601,$49.95,320.0,8.5 x 0.8 x 11.2 inches,08/19/14,Wizards of the Coast; 5th edition,Player's Handbook (Dungeons & Dragons)
2375,Wizards RPG Team,Hardcover,$34.39,9780786965625,$49.95,320.0,8.5 x 0.8 x 11.2 inches,12/09/14,Wizards of the Coast; 5th edition,"Dungeons & Dragons Dungeon Master's Guide (Core Rulebook, D&D Roleplaying Game) (D&D Core Rulebook)"
2376,Wizards RPG Team,Hardcover,$29.71,9780786966110,$49.95,192.0,8.6 x 0.6 x 11.2 inches,11/21/17,Wizards of the Coast,Xanathar's Guide to Everything
2377,Wizards RPG Team,Hardcover,$26.38,9780786965618,$49.95,352.0,8.6 x 0.8 x 11.2 inches,09/30/14,Wizards of the Coast; 9 edition,"Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game) (D&D Core Rulebook)"
2378,Chelsea Monroe-Cassel,Hardcover,$21.99,9781683833987,$35.00,192.0,8 x 0.7 x 10 inches,03/26/19,Insight Editions,The Elder Scrolls: The Official Cookbook
2379,Wizards RPG Team,Hardcover,$29.38,9780786966011,$49.95,224.0,8.5 x 0.6 x 10.9 inches,11/15/16,Wizards of the Coast; Wizards RPG Team edition,Volo's Guide to Monsters
2380,Various ,Hardcover,$20.99,9781401285388,$29.99,424.0,7.4 x 1 x 11.2 inches,03/12/19,DC Comics; Deluxe edition,Detective Comics: 80 Years of Batman Deluxe Edition
2381,"Chelsea Monroe-Cassel , Sariann Lehrer , et al. ",Hardcover,$27.81,9780345534491,$35.00,240.0,7.7 x 0.8 x 9.5 inches,05/29/12,Bantam; First Barnes & Noble Edition edition,A Feast of Ice and Fire: The Official Game of Thrones Companion Cookbook
2382,Philip Pullman ,Hardcover,$15.31,9780553510669,$22.99,544.0,6.2 x 1.4 x 9 inches,10/03/19,Knopf Books for Young Readers,"The Book of Dust: The Secret Commonwealth (Book of Dust, Volume 2)"
2383,Stephen King ,Paperback,$13.81,9781439156810,$17.00,288.0,5.5 x 0.8 x 8.4 inches,07/06/10,Scribner; Anniversary edition,On Writing: 10th Anniversary Edition: A Memoir of the Craft
2384,Wizards RPG Team ,Hardcover,$31.42,9780786966264,$49.95,256.0,8.6 x 0.8 x 11.1 inches,11/20/18,Wizards of the Coast,"Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage (Adventure Book, D&D Roleplaying Game) (D&D Adventure)"
2385,Wizards RPG Team ,Game,$25.88,9780786966707,$29.99,,5.2 x 2.5 x 3.6 inches,11/05/18,Wizards of the Coast,Dungeons & Dragons Spellbook Cards: Magic Items (D&D Accessory)
2386,Wizards RPG Team ,Hardcover,$33.96,9780786966097,$49.95,248.0,8.5 x 0.7 x 11.2 inches,04/04/17,Wizards of the Coast,Tales From the Yawning Portal (Dungeons & Dragons)
2387,Diane Alber ,Paperback,$10.50,,$11.99,,,01/01/1979,,Never Let a Unicorn Scribble!
2388,"Mike Alfaro , Gerardo Guillén , et al. ",Game,$22.46,9781944515805,$24.95,,9 x 1.5 x 5.5 inches,12/04/18,Blue Star Press,Millennial Loteria
2389,Victoria Rosenthal ,Hardcover,$20.31,9781683833970,$35.00,192.0,8 x 0.9 x 10 inches,10/23/18,Insight Editions,Fallout: The Vault Dweller's Official Cookbook
2390,Stan Lee and John Buscema ,Paperback,$12.23,9780671530778,$17.99,192.0,8.5 x 0.4 x 11 inches,09/14/84,Atria Books; Reprint edition,How To Draw Comics The Marvel Way
2391,J. R. R. Tolkien ,Paperback,$11.16,9780547928227,$15.99,300.0,5.5 x 0.8 x 8.2 inches,09/18/12,Houghton Mifflin Harcourt,The Hobbit
2392,Wizards RPG Team ,Game,$16.87,9780786966790,$24.95,,8.6 x 0.7 x 11.2 inches,02/19/19,Wizards of the Coast,Dungeons & Dragons Tactical Maps Reincarnated (D&D Accessory)
2393,Wizards RPG Team ,Hardcover,$33.96,9780786966103,$49.95,256.0,8.5 x 0.7 x 11.2 inches,09/19/17,Wizards of the Coast,Tomb of Annihilation (Dungeons & Dragons)
2394,Matthew Mercer and James Haeck ,Hardcover,$27.00,9781934547847,$34.95,144.0,8.5 x 0.6 x 10.9 inches,10/17/17,Green Ronin Publishing,Critical Role: Tal'Dorei Campaign Setting
