,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
3944,Steve Martin ,Paperback,$11.74,9781416553656,$17.00,208.0,5.2 x 0.8 x 8 inches,09/02/08,Scribner; Reprint edition,Born Standing Up: A Comic's Life
3945,Rachel Anne Ridge and Priscilla Shirer ,Paperback,$11.87,9781414397849,$15.99,256.0,5.5 x 1 x 8.2 inches,10/01/16,Tyndale Momentum; Reprint edition,"Flash: The Homeless Donkey Who Taught Me about Life, Faith, and Second Chances (Flash the Donkey)"
3946,Kelsey Miller ,Hardcover,$18.89,9781335928283,$26.99,304.0,6.3 x 1.1 x 9.3 inches,10/23/18,Hanover Square Press; Original edition,I'll Be There for You: The One about Friends
3947,Barbara Brown Taylor ,Paperback,$5.56,9780060872632,$14.99,251.0,5.3 x 0.6 x 8 inches,05/01/12,HarperOne,Leaving Church: A Memoir of Faith
3948,Nick Offerman ,Paperback,$6.60,9780451467096,$16.00,352.0,5.5 x 0.7 x 8.3 inches,09/02/14,Dutton; Reprint edition,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living
3949,Lindsey Mead ,Hardcover,$17.10,9781501172120,$26.00,256.0,5 x 1 x 7 inches,02/05/19,Simon & Schuster,On Being 40(ish)
3950,Mark Mallman ,Paperback,$13.46,9780986360732,$14.95,146.0,5.2 x 0.5 x 8 inches,03/19/19,Think Piece Publishing,The Happiness Playlist: The True Story Of Healing My Heart With Feel-Good Music
3951,"Florence Chenoune, Farid Muller ",Hardcover,$45.99,9780810996083,$75.00,388.0,8.9 x 1.5 x 10.6 inches,06/01/10,Harry N. Abrams; 1st Edition edition,Yves Saint Laurent
3952,Tina Fey ,Mass Market Paperback,$4.18,9780316056892,$9.00,,4.2 x 0.8 x 7 inches,01/29/13,"Reagan Arthur / Little, Brown; Reprint edition",Bossypants
3953,G. Richard Shell ,Paperback,$14.57,9780143036975,$18.00,304.0,5.5 x 0.6 x 8.4 inches,05/02/06,Penguin Books; 2 edition,Bargaining for Advantage: Negotiation Strategies for Reasonable People 2nd Edition
3954,Issa Rae ,Paperback,$9.98,9781476749075,$16.00,224.0,5.5 x 0.6 x 8.4 inches,07/12/16,Atria / 37 INK; Reprint edition,The Misadventures of Awkward Black Girl
3955,Darlene Deibler Rose ,Paperback,$12.59,9780060670207,$16.99,224.0,5.3 x 0.5 x 8 inches,01/011990,Harper Collins; Reprint edition,Evidence Not Seen: A Woman's Miraculous Faith in the Jungles of World War II
3956,Victoria Riskin ,Hardcover,$19.49,9781524747282,$30.00,416.0,6.6 x 1.5 x 9.5 inches,02/26/19,Pantheon,Fay Wray and Robert Riskin: A Hollywood Memoir
3957,Alexander Shulgin and Ann Shulgin ,Paperback,$27.00,9780963009609,$30.00,978.0,6 x 1.7 x 9.1 inches,10/01/90,Transform Pr; 1st edition,Pihkal: A Chemical Love Story
3958,Al-Anon Family Group Headquarters ,Hardcover,$20.95,9780910034395,$25.75,379.0,5 x 1 x 8.4 inches,03/01/07,"Al-Anon Family Group Headquarters, Inc.; 1st edition",Hope for Today
3959,Dr. David Hanscom ,Paperback,$14.22,9780988272996,$24.99,352.0,6 x 1 x 9 inches,11/18/16,Vertus Press; 2nd ed. edition,"Back in Control: A Surgeon’s Roadmap Out of Chronic Pain, 2nd Edition"
